iter	Passed	Remaining
443	1998	252
444	2001	247
445	2005	242
446	2009	238
447	2013	233
448	2017	229
449	2021	224
450	2025	220
451	2029	215
452	2033	211
453	2037	206
454	2041	201
455	2045	197
456	2049	192
457	2053	188
458	2057	183
459	2061	179
460	2065	174
461	2069	170
462	2073	165
463	2078	161
464	2082	156
465	2086	152
466	2090	147
467	2094	143
468	2098	138
469	2102	134
470	2107	129
471	2111	125
472	2115	120
473	2119	116
474	2123	111
475	2127	107
476	2131	102
477	2135	98
478	2139	93
479	2144	89
480	2148	84
481	2151	80
482	2156	75
483	2160	71
484	2163	66
485	2167	62
486	2171	57
487	2175	53
488	2179	49
489	2183	44
490	2188	40
491	2191	35
492	2195	31
493	2199	26
494	2203	22
495	2207	17
496	2211	13
497	2215	8
498	2219	4
499	2223	0
