iter	Logloss
0	0.6571313477
1	0.6301836603
2	0.6002896396
3	0.5750506037
4	0.5541391824
5	0.5344633345
6	0.5175056041
7	0.5020099432
8	0.4866787997
9	0.4769259366
10	0.4663626931
11	0.4547666515
12	0.4468671764
13	0.4392640547
14	0.4312645097
15	0.424824191
16	0.4200818149
17	0.4147397405
18	0.4094453846
19	0.4049146618
20	0.3999161321
21	0.3960973566
22	0.3935215066
23	0.3899551392
24	0.3873971835
25	0.3852341808
26	0.3826445423
27	0.3807011275
28	0.3790072354
29	0.3767315674
30	0.3752751853
31	0.3733950251
32	0.3716604337
33	0.3704448631
34	0.3694035756
35	0.3681743275
36	0.3671238015
37	0.3658444491
38	0.3646818681
39	0.3636298162
40	0.3630238758
41	0.3623671098
42	0.361571905
43	0.3607548384
44	0.3597896784
45	0.3590125344
46	0.3583007812
47	0.3574332497
48	0.3569411954
49	0.3561337835
50	0.3555535889
51	0.3550330145
52	0.3542931851
53	0.3537805176
54	0.3532248202
55	0.3528222656
56	0.3522799128
57	0.3517980402
58	0.351246754
59	0.3507020153
60	0.3502988781
61	0.3498327914
62	0.3495338024
63	0.3491440097
64	0.3488648848
65	0.3485315219
66	0.3481861739
67	0.3477439742
68	0.3474481201
69	0.3470562744
70	0.34675895
71	0.3464652599
72	0.3460470858
73	0.3455867143
74	0.3452545166
75	0.3447490623
76	0.3444359797
77	0.3441030051
78	0.3437677557
79	0.3434856623
80	0.3431582087
81	0.3429782937
82	0.3426919001
83	0.3422683716
84	0.341961226
85	0.341780229
86	0.3413808649
87	0.3410762718
88	0.3407057329
89	0.3404398693
90	0.3403186867
91	0.3399933694
92	0.3395965299
93	0.3394555664
94	0.3392365889
95	0.3388879672
96	0.3386456021
97	0.3383732466
98	0.3381236406
99	0.3379047186
100	0.3375440008
101	0.3372487571
102	0.3370446777
103	0.3368212336
104	0.3366702825
105	0.3363401101
106	0.3360680875
107	0.3357879084
108	0.3354991011
109	0.335300293
110	0.3350696078
111	0.3347990834
112	0.3343711159
113	0.3342096502
114	0.3340442449
115	0.3339771895
116	0.3337544389
117	0.3334288441
118	0.3332480413
119	0.3331297996
120	0.3329219749
121	0.3326721746
122	0.3324912609
123	0.3322238991
124	0.3320365212
125	0.3317260187
126	0.331545854
127	0.331449252
128	0.3312407615
129	0.3311278187
130	0.3308896151
131	0.3307660744
132	0.3306345714
133	0.3304325173
134	0.3302413108
135	0.3301152455
136	0.3300329867
137	0.3298915516
138	0.3297955322
139	0.3294053511
140	0.3293354381
141	0.329087025
142	0.3287898948
143	0.3285514693
144	0.3284110884
145	0.3282920699
146	0.3280886009
147	0.3278567227
148	0.3276619651
149	0.3275179776
150	0.3273430009
151	0.3271590354
152	0.3269856956
153	0.3268787176
154	0.3266973045
155	0.3264990234
156	0.3263063188
157	0.3260324652
158	0.3257652421
159	0.3255967574
160	0.3254083252
161	0.3252694425
162	0.3251658769
163	0.3250859209
164	0.3248510742
165	0.324696572
166	0.3245274492
167	0.3242885798
168	0.3241473389
169	0.3239470881
170	0.3238228538
171	0.3236946522
172	0.3236057073
173	0.3234579745
174	0.3232354736
175	0.3231078547
176	0.3229435591
177	0.3227360951
178	0.3225652521
179	0.3221417514
180	0.3217929355
181	0.3215526789
182	0.3211477661
183	0.32101962
184	0.3208281361
185	0.3205272605
186	0.3203650457
187	0.3201166881
188	0.3200110973
189	0.3198545421
190	0.3196820346
191	0.3194606712
192	0.3192263517
193	0.3189043635
194	0.3187214799
195	0.3184329778
196	0.3183203957
197	0.3181737172
198	0.3177787087
199	0.3175742409
200	0.31737055
201	0.3171572599
202	0.3169214977
203	0.3167019931
204	0.3164297208
205	0.3162534124
206	0.3161504295
207	0.31592324
208	0.3158214222
209	0.3156461126
210	0.3153939264
211	0.3152165083
212	0.3149607156
213	0.314763683
214	0.3144714355
215	0.314252569
216	0.3141255327
217	0.3139387096
218	0.3137851784
219	0.3136333396
220	0.3134040971
221	0.3131343217
222	0.3129463057
223	0.3129200883
224	0.3127224177
225	0.3125456654
226	0.3123676647
227	0.3122609641
228	0.3120673162
229	0.3119201105
230	0.3117231334
231	0.3114728338
232	0.3112300803
233	0.3110848444
234	0.3109463778
235	0.3107633001
236	0.3104835094
237	0.3102834806
238	0.3101567494
239	0.3099176025
240	0.3095689808
241	0.3093505305
242	0.3091301381
243	0.3089110773
244	0.3086022394
245	0.3085118242
246	0.3083690297
247	0.3083344061
248	0.308157959
249	0.3079078813
250	0.3077263849
251	0.3074503396
252	0.307267789
253	0.3071177257
254	0.3069960993
255	0.3068550526
256	0.3066870117
257	0.306531594
258	0.3063342563
259	0.306147128
260	0.3059217973
261	0.3056012518
262	0.3055197976
263	0.3052286044
264	0.3051083929
265	0.3049303922
266	0.3045986106
267	0.3043032005
268	0.3041308039
269	0.3040305398
270	0.3038121171
271	0.3036074829
272	0.3034447687
273	0.3032303689
274	0.3031759644
275	0.3029442527
276	0.3025621449
277	0.3023155629
278	0.3020360773
279	0.3019182795
280	0.3016129372
281	0.3013743175
282	0.3011889648
283	0.3010332142
284	0.3008197021
285	0.3006462236
286	0.3004229181
287	0.3003486772
288	0.3001312811
289	0.2998911077
290	0.2995864313
291	0.2994023271
292	0.2991495028
293	0.2989890359
294	0.2988476008
295	0.2986701272
296	0.2985266668
297	0.2981892811
298	0.2979908891
299	0.2978272594
300	0.2975296021
301	0.2973868353
302	0.2972300581
303	0.2970956976
304	0.2968497814
305	0.2967846402
306	0.2965862205
307	0.2964020885
308	0.2962105491
309	0.2961384166
310	0.2958672541
311	0.2956623424
312	0.2954923873
313	0.295333141
314	0.2951962558
315	0.2951343883
316	0.2949852128
317	0.2946671365
318	0.2945141047
319	0.2943730857
320	0.2941731678
321	0.293930775
322	0.2936912398
323	0.2935617343
324	0.2932849121
325	0.29308394
326	0.2930124179
327	0.2927481634
328	0.2926018732
329	0.2924028431
330	0.292235912
331	0.2919737382
332	0.2918160178
333	0.2916584917
334	0.2913821411
335	0.2912149325
336	0.291068892
337	0.2910103538
338	0.2906937478
339	0.2905181885
340	0.2902893621
341	0.2901660434
342	0.2899743097
343	0.2897576349
344	0.2894598111
345	0.2893372414
346	0.289195085
347	0.2889449241
348	0.2886527876
349	0.2885391235
350	0.2882525357
351	0.2879502175
352	0.2877726884
353	0.2876258157
354	0.2874589677
355	0.28732949
356	0.2870660955
357	0.2869482144
358	0.2867892179
359	0.2866761086
360	0.2866571045
361	0.2864602661
362	0.2862811279
363	0.2860033625
364	0.2857588889
365	0.2855924294
366	0.2854834539
367	0.2853240689
368	0.2850190041
369	0.2848673873
370	0.2846562611
371	0.2844866388
372	0.2842759011
373	0.2841789107
374	0.284024464
375	0.2838284302
376	0.2837034468
377	0.2836284291
378	0.2835917525
379	0.2833600686
380	0.2832248202
381	0.2830964799
382	0.282839411
383	0.282713734
384	0.282461853
385	0.282279136
386	0.2820922297
387	0.2819689387
388	0.2817433305
389	0.2814397084
390	0.2811952071
391	0.2808952748
392	0.2806327681
393	0.2804939409
394	0.2803105025
395	0.2801837713
396	0.280027771
397	0.2798607289
398	0.2796183361
399	0.2794754028
400	0.2792463823
401	0.2789855402
402	0.2788126443
403	0.2786437156
404	0.2785541881
405	0.2784042636
406	0.2783313821
407	0.2782603871
408	0.2781063565
409	0.2780412709
410	0.2777842574
411	0.2776303378
412	0.2775388128
413	0.277322998
414	0.2771009965
415	0.2769400857
416	0.276776345
417	0.2766571322
418	0.2765400835
419	0.2763807817
420	0.2762180398
421	0.2760458097
422	0.2759134743
423	0.2758809593
424	0.2757333097
425	0.2754953003
426	0.275385326
427	0.2752758234
428	0.2751348877
429	0.2749422108
430	0.2747017045
431	0.2745377974
432	0.2744319846
433	0.2742956543
434	0.2740905762
435	0.2739637895
436	0.2739263916
437	0.2737857611
438	0.2736125044
439	0.2732799183
440	0.2731633134
441	0.2730249856
442	0.2728547807
443	0.2726985862
444	0.2724882091
445	0.2723544866
446	0.2722025368
447	0.2720326372
448	0.2718865412
449	0.2717210804
