iter	Passed	Remaining
415	3527	712
416	3536	703
417	3544	695
418	3552	686
419	3561	678
420	3568	669
421	3577	661
422	3585	652
423	3594	644
424	3601	635
425	3608	626
426	3616	618
427	3623	609
428	3632	601
429	3640	592
430	3648	584
431	3655	575
432	3663	566
433	3671	558
434	3679	549
435	3688	541
436	3695	532
437	3704	524
438	3711	515
439	3719	507
440	3727	498
441	3736	490
442	3743	481
443	3751	473
444	3759	464
445	3767	456
446	3775	447
447	3783	439
448	3791	430
449	3799	422
450	3806	413
451	3814	405
452	3822	396
453	3831	388
454	3839	379
455	3847	371
456	3855	362
457	3862	354
458	3870	345
459	3878	337
460	3894	329
461	3903	321
462	3911	312
463	3920	304
464	3928	295
465	3937	287
466	3945	278
467	3955	270
468	3965	262
469	3974	253
470	3987	245
471	3998	237
472	4008	228
473	4019	220
474	4031	212
475	4043	203
476	4054	195
477	4064	187
478	4075	178
479	4089	170
480	4100	161
481	4111	153
482	4121	145
483	4132	136
484	4143	128
485	4157	119
486	4170	111
487	4183	102
488	4192	94
489	4203	85
490	4214	77
491	4222	68
492	4234	60
493	4244	51
494	4252	42
495	4264	34
496	4273	25
497	4282	17
498	4293	8
499	4301	0
